stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
2334983,364,,Holcomb Bridge Rd & Gwinnett Walk Plaza,,33.953953,-84.243505,,,0,,America/New_York,,,0
2334984,365,,Holcomb Bridge Rd & Bank Of America Ob,,33.949696,-84.233291,,,0,,America/New_York,,,0
2334985,366,,Holcomb Bridge Rd & Citgo Gas Station,,33.952823,-84.242668,,,0,,America/New_York,,,0
2334986,369,,Holcomb Bridge Rd & Ryan Rd,,33.951016,-84.237336,,,0,,America/New_York,,,0
2334987,370,,Holcomb Bridge Rd & Family Dermatology,,33.953268,-84.243433,,,0,,America/New_York,,,0
2334988,371,,Holcomb Bridge Rd & Wells Fargo,,33.951405,-84.239981,,,0,,America/New_York,,,0
2334989,372,,Holcomb Bridge Rd & Woodland Rd Ob,,33.957268,-84.245163,,,0,,America/New_York,,,0
2334990,374,,Indian Trail Rd & Le's Auto Repair,,33.916933,-84.163812,,,0,,America/New_York,,,0
2334991,375,,Indian Trail Rd At Boehm Travel,,33.918621,-84.165212,,,0,,America/New_York,,,0
2334992,376,,Indian Trail Rd & Ga Belle Ct,,33.919412,-84.167214,,,0,,America/New_York,,,0
2334993,377,,Indian Trail Rd & Georgia Belle Ct,,33.919719,-84.167148,,,0,,America/New_York,,,0
2334994,378,,Indian Trail Rd & Gacs,,33.920976,-84.170006,,,0,,America/New_York,,,0
2334995,379,,Indian Trail Rd & Indian Way,,33.908318,-84.157047,,,0,,America/New_York,,,0
2334996,380,,Indian Trail Rd & Market Center,,33.905246,-84.155196,,,0,,America/New_York,,,0
2334997,381,,Indian Trail Rd & Checks Cashed Bldg,,33.913263,-84.161259,,,0,,America/New_York,,,0
2334998,382,,Indian Trail Rd & Brook Plaza Ob,,33.921948,-84.171598,,,0,,America/New_York,,,0
2334999,383,,Indian Trail Rd & Brook Plaza,,33.921205,-84.169726,,,0,,America/New_York,,,0
2335000,384,,Indian Trail Rd & Kfc/wf,,33.922819,-84.172651,,,0,,America/New_York,,,0
2335001,385,,Indian Trail Rd & Quicktrip,,33.923146,-84.172471,,,0,,America/New_York,,,0
2335002,386,,Indian Trail Rd & Treetrl Village Plz,,33.916567,-84.163931,,,0,,America/New_York,,,0
2335003,387,,Indian Trail Rd & Willow Trail Pkwy Ob,,33.926156,-84.174902,,,0,,America/New_York,,,0
2335004,388,,Indian Trail Rd & Willow Trail Pkwy Ib,,33.925778,-84.174279,,,0,,America/New_York,,,0
2335005,390,,Indian Tr & Wuthering Way (cpa) Ib,,33.909825,-84.157204,,,0,,America/New_York,,,0
2335006,391,,Jimmy Carter Blvd & Amway Products Dist,,33.935127,-84.224789,,,0,,America/New_York,,,0
2335007,392,,Jimmy Carter Blvd & Atlantic Blvd,,33.939537,-84.236704,,,0,,America/New_York,,,0
2335008,393,,Jimmy Carter Blvd & Mjays Baked Foods,,33.940999,-84.237717,,,0,,America/New_York,,,0
2335009,395,,Jimmy Carter Blvd & Veridian Bus Park,,33.94108,-84.237468,,,0,,America/New_York,,,0
2335010,396,,Jimmy Carter Blvd & Cash Ct,,33.942557,-84.239125,,,0,,America/New_York,,,0
2335011,397,,Jimmy Carter Blvd & Britt Rd,,33.885303,-84.191961,,,0,,America/New_York,,,0
2335012,398,,Jimmy Carter Blvd & Williams Rd,,33.885044,-84.191321,,,0,,America/New_York,,,0
2335013,399,,Jimmy Carter Blvd & Los Portales Rest,,33.931074,-84.221487,,,0,,America/New_York,,,0
2335014,400,,Jimmy Carter Blvd & Atlantic Blvd,,33.939815,-84.236593,,,0,,America/New_York,,,0
2335015,403,,Jimmy Carter Blvd & Everest Tr,,33.878488,-84.189059,,,0,,America/New_York,,,0
2335016,404,,Jimmy Carter Blvd & Frugal Fabrics,,33.93777,-84.235503,,,0,,America/New_York,,,0
2335017,405,,Jimmy Carter Blvd & Forest Vale Apts,,33.892921,-84.196443,,,0,,America/New_York,,,0
2335018,406,,Jimmy Carter Blvd & Napa,,33.892481,-84.19599,,,0,,America/New_York,,,0
2335019,407,,Jimmy Carter Blvd & Best Friend Park Ob,,33.928208,-84.220247,,,0,,America/New_York,,,0
2335020,408,,Jimmy Carter Blvd & Gale Dr,,33.899287,-84.20364,,,0,,America/New_York,,,0
2335021,410,,Jimmy Carter Blvd & Home Depot,,33.869424,-84.188446,,,0,,America/New_York,,,0
2335022,411,,Jimmy Carter Blvd & Home Depot,,33.869427,-84.188102,,,0,,America/New_York,,,0
